Unit_Name,Core,Faction,Standard,Wargear,Cost,Bodygaurd
Regimental Preacher,"[[""CORE"", "" Leader""]]","[""FACTION"", ""*""]","[[[""War Hymns:"", "" While this model is leading a unit, melee weapons equipped by models in that unit have the [SUSTAINED HITS 1] ability.""], [""Holy Piety:"", "" Each time this model makes a melee attack, unless this model's unit is Battle-shocked, you can re-roll the Hit roll.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""35""]]]","[[""Cadian Shock Troops"", ""Catachan Jungle Fighters"", ""Death Korps Of Krieg"", ""Infantry Squad"", ""Kasrkin"", ""Tempestus Scions"", ""Death Korps Grenadier Squad""]]"
Sergeant Harker,"[[""CORE"", "" Feel No Pain 6+"", "" Leader"", "" Scouts 6""]]","[[""FACTION"", "" Voice of Command""]]","[[[""Harker’s Hellraisers:"", ""Harker's Hellraisers: While this model is leading a unit, each time a ranged attack targets that unit, if the attacking model is more than 12\"" away, subtract 1 from the Hit roll.""], [""Payback Time:"", "" Once per battle, when this model is selected to shoot, it can use this ability. If it does, until the end of the phase, its Payback weapon has an Attacks characteristic of 6 and the [SUSTAINED HITS 3] ability instead of the [SUSTAINED HITS 1] ability.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""40""]]]","[[""Catachan Jungle Fighters""]]"
Sly Marbo,"[[""CORE"", "" Infiltrators"", "" Lone Operative"", "" Stealth""]]","[""FACTION"", ""*""]","[[[""One-man Army:"", "" Each time an enemy unit targets a friendly ASTRA MILITARUM unit within 3\"" of this model with ranged attacks, after that enemy unit has finished making its attacks, this model can shoot as if it were your Shooting phase.""], [""Like Fighting a Shadow:"", "" Each time this model has shot, if it is not within Engagement Range of any enemy units, it can make a Normal move as if it were your Movement phase. If it does, until the end of the turn, this model is not eligible to declare a charge.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""65""]]]","[""BODYGUARD"", ""NA""]"
Tank Commander,"[[""CORE"", "" Deadly Demise D3""]]","[[""FACTION"", "" Voice of Command""]]","[[[""Vox-net:"", "" Each time this model issues an Order, it can issue it to an eligible unit up to 12\"" away.""], [""Death Befitting An Officer:"", "" When this model is destroyed , roll one D6: on a 2+, do not remove it from play – it can, after the attacking model's unit has finished making its attacks, shoot as if it were your Shooting phase and as if it had its full wounds remaining. This model is then removed from play.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""205""]]]","[""BODYGUARD"", ""NA""]"
Ursula Creed,"[""CORE"", ""*""]","[[""FACTION"", "" Voice of Command""]]","[[[""Lord Castellan:"", "" While this model is leading a unit, that unit can be affected by up to two different Orders at the same time.""], [""Tactical Genius:"", "" Once per battle round, one REGIMENT unit from your army within 12\"" of this model can be targeted with a Stratagem for 0CP, even if another unit from your army has already been targeted with that Stratagem this phase.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""55""]]]","[[""Cadian Shock Troops"", ""Infantry Squad"", ""Kasrkin""]]"
Death Korps Marshal,"[[""CORE"", "" Feel No Pain 5+"", "" Leader""]]","[[""FACTION"", "" Voice of Command""]]","[[[""Martial Dedication:"", "" While this model is leading a unit, models in that unit have the Feel No Pain 5+ ability.""], [""Cult of Sacrifice:"", "" Once per battle, you can target this model's unit with the Insane Bravery Stratagem for 0CP, and can do so even if you have already targeted a different unit with that Stratagem this phase. This cannot allow you to use the Insane Bravery Stratagem more than twice per phase.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""60""]]]","[[""Death Korps Of Krieg"", ""Infantry Squad"", ""Death Korps Grenadier Squad""]]"
Death Rider Squadron Commander,"[[""CORE"", "" Leader""]]","[[""FACTION"", "" Voice of Command""]]","[[[""Rapid Reconnaissance:"", "" While this model is leading a unit, models in that unit have the Infiltrators ability.""], [""Glorious Charge:"", "" Each time this model makes a Charge move, until the end of the turn, its Death Rider hunting lance has the [DEVASTATING WOUNDS] ability.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""60""]]]","[[""Death Rider Squadron""]]"
Death Rider Commissar,"[[""CORE"", "" Leader""]]","[[""FACTION"", "" Voice of Command""]]","[[[""Summary Execution:"", "" Once per battle round, at the start of any phase, you can select one friendly ASTRA MILITARUM INFANTRY or ASTRA MILITARUM MOUNTED unit that is Battle-shocked and within 12\"" of this model. If you do, one model in that unit is destroyed, and that unit is then no longer Battle-shocked.""], [""Political Overwatch:"", "" While another OFFICER model is in the same unit as this model, you can re-roll Battle-shock tests taken for that unit.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""35""]]]","[[""Death Rider Squadron""]]"
Quartermaster Cadre Squad,"[[""CORE"", "" Leader""]]","[""FACTION"", ""*""]","[""STANDARD"", ""*""]","[[[""Medicae Medi-packs:"", "" Whilst this unit contains one or more Medicae Servitors, models in this unit have the Feel No Pain 5+ ability.""], [""Mindlock:"", "" While this unit contains a Quartermaster Revenant model, improve the Weapon Skill characteristic of this unit's Medical scalpels by 1.""]]]","[[[""5"", ""45""]]]","[[""Death Korps Of Krieg"", ""Infantry Squad"", ""Death Korps Grenadier Squad""]]"
Rein And Raus,"[[""CORE"", "" Infiltrators"", "" Lone Operative"", "" Stealth""]]","[""FACTION"", ""*""]","[[[""Shoot Sharp and Scarper:"", "" In your Shooting phase, after this unit has shot, if it is not within Engagement Range of one or more enemy units, it can make a Normal move. If it does, until the end of the turn, this unit is not eligible to declare a charge.""], [""The Ratling Twins:"", "" While this unit contains 2 models, each time a model in this unit makes a ranged attack, you can re-roll the Hit roll and you can re-roll the Wound roll.""]]]","[""WARGEAR"", ""*""]","[[[""2"", ""50""]]]","[""BODYGUARD"", ""NA""]"
Cadian Shock Troops,"[""CORE"", ""*""]","[""FACTION"", ""*""]","[[[""Shock Troops:"", "" At the end of your Command phase, if this unit is within range of an objective marker you control, that objective marker remains under your control, even if you have no models within range of it, until your opponent controls it at the start or end of any turn.""]], [[""Vox-caster:"", "" Each time you target the bearer's unit with a Stratagem, roll one D6, adding 1 to the result if there are one or more friendly OFFICER models within 6\"": on a 5+, you gain 1CP.""]]]","[""WARGEAR"", ""*""]","[[[""10"", ""60""], [""20"", ""120""]]]","[""BODYGUARD"", ""NA""]"
Catachan Jungle Fighters,"[[""CORE"", "" Scouts 6""]]","[""FACTION"", ""*""]","[[[""Jungle Fighters:"", "" Each time a model in this unit makes a melee attack, if this unit made a Charge move or was charged this turn, improve the Strength and Armour Penetration characteristics of that attack by 1.""]], [[""Vox-caster:"", "" Each time you target the bearer's unit with a Stratagem, roll one D6, adding 1 to the result if there are one or more friendly OFFICER models within 6\"": on a 5+, you gain 1CP.""]]]","[""WARGEAR"", ""*""]","[[[""10"", ""55""], [""20"", ""110""]]]","[""BODYGUARD"", ""NA""]"
Death Korps Of Krieg,"[""CORE"", ""*""]","[""FACTION"", ""*""]","[[[""Grim Demeanour:"", "" Each time a model in this unit makes an attack, add 1 to the Hit roll if this unit is below its Starting Strength, and add 1 to the Wound roll as well if this unit is Below Half-strength.""]], [[""Vox-caster:"", "" Each time you target the bearer's unit with a Stratagem, roll one D6, adding 1 to the result if there are one or more friendly OFFICER models within 6\"": on a 5+, you gain 1CP.""]]]","[[[""Death Korps Medi-pack:"", "" At the start of your Command phase, if the bearer's unit is below its Starting Strength, you can return up to D3 destroyed Death Korps Troopers to this unit.""]]]","[[[""10"", ""65""], [""20"", ""130""]]]","[""BODYGUARD"", ""NA""]"
Infantry Squad,"[""CORE"", ""*""]","[""FACTION"", ""*""]","[[[""Defenders of Humanity:"", "" Each time a ranged attack targets this unit, if this unit is within range of an objective marker you control, models in this unit have the Benefit of Cover against that attack.""]], [[""Vox-caster:"", "" Each time you target the bearer's unit with a Stratagem, roll one D6, adding 1 to the result if there are one or more friendly OFFICER models within 6\"": on a 5+, you gain 1CP.""]]]","[""WARGEAR"", ""*""]","[[[""9-10"", ""60""], [""18-20"", ""120""]]]","[""BODYGUARD"", ""NA""]"
Chimera,"[[""CORE"", "" Deadly Demise D3"", "" Firing Deck 2""]]","[""FACTION"", ""*""]","[[[""Mobile Command Vehicle:"", "" In your Command phase, one OFFICER model embarked within this Transport can issue Orders even though it is not on the battlefield. When doing so, measure distances to and from this Transport.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""70""]]]","[""BODYGUARD"", ""NA""]"
Taurox,"[[""CORE"", "" Deadly Demise D3""]]","[""FACTION"", ""*""]","[[[""Rapid Deployment:"", "" Units can disembark from this Transport after it has Advanced. Units that do so count as having made a Normal move that phase, and cannot declare a charge in the same turn, but can otherwise act normally.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""65""]]]","[""BODYGUARD"", ""NA""]"
Taurox Prime,"[[""CORE"", "" Deadly Demise D3""]]","[""FACTION"", ""*""]","[[[""Fire Support:"", "" In your Shooting phase, after this model has shot, select one enemy unit that was hit by one or more of those attacks. Until the end of the phase, each time a friendly model that disembarked from this TRANSPORT this turn makes an attack that targets that enemy unit, you can re-roll the Wound roll.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""90""]]]","[""BODYGUARD"", ""NA""]"
Storm Chimera,"[[""CORE"", "" Deadly Demise D3"", "" Firing Deck 2""]]","[""FACTION"", ""*""]","[[[""Mobile Command Vehicle:"", "" In your Command phase, one OFFICER model embarked within this TRANSPORT can issue Orders even though it is not on the battlefield. When doing so, measure distances to and from this TRANSPORT.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""90""]]]","[""BODYGUARD"", ""NA""]"
Aegis Defence Line,"[""CORE"", ""*""]","[""FACTION"", ""*""]","[[[""Emplacement Platform:"", "" Friendly ASTRA MILITARUM INFANTRY models can be set up or end any type of move on top of the platform section of this FORTIFICATION.""], [""Reinforced Cover:"", "" Each time a ranged attack is allocated to a model, if that model is not fully visible to every model in the attacking unit because of this FORTIFICATION, that model has the Benefit of Cover against that attack.""], [""Fortification:"", "" While an enemy unit is only within Engagement Range of one or more FORTIFICATIONS from your army: That unit can still be selected as the target of ranged attacks, but each time such an attack is made, unless it is made with a Pistol, subtract 1 from the Hit roll. Models in that unit do not need to take Desperate Escape tests due to Falling Back while Battle-shocked, except for those that will move over enemy models when doing so.""], [""Defence Line:"", "" While an ASTRA MILITARUM INFANTRY model has the Benefit of Cover as a result of this terrain feature (see above), that model has a 4+ invulnerable save.""]], [[""1 Aegis Defence Line"", nil]]]","[""WARGEAR"", ""*""]","[[[""1"", ""145""]]]","[""BODYGUARD"", ""NA""]"
Earthshaker Platform,"[[""CORE"", "" Deadly Demise 1""]]","[""FACTION"", ""*""]","[[[""Earthshaker Rounds:"", "" In your Shooting phase, after this model has shot, if one or more of those attacks made with its earthshaker cannon scored a hit against an enemy Infantry unit, until the end of your opponent's next turn, that unit is shaken. While a unit is shaken, subtract 2\"" from its Move characteristic and subtract 2 from Advance and Charge rolls made for it.""], [""Reinforced Cover:"", "" Each time a ranged attack is allocated to a model, if that model is not fully visible to every model in the attacking unit because of this Fortification, that model has the Benefit of Cover against that attack.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""110""]]]","[""BODYGUARD"", ""NA""]"
Hydra Platform,"[[""CORE"", "" Deadly Demise 1""]]","[""FACTION"", ""*""]","[[[""Flak Battery:"", "" Each time this model makes an attack that targets a unit that can FLY, you can re-roll the Hit roll.""], [""Reinforced Cover:"", "" Each time a ranged attack is allocated to a model, if that model is not fully visible to every model in the attacking unit because of this Fortification, that model has the Benefit of Cover against that attack.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""95""]]]","[""BODYGUARD"", ""NA""]"
Manticore Platform,"[[""CORE"", "" Deadly Demise 1""]]","[""FACTION"", ""*""]","[[[""Furious Barrage:"", "" Each time this model makes an attack with its storm eagle rockets that targets an enemy unit that contains five or more models, you can re-roll the Hit roll.""], [""Reinforced Cover:"", "" Each time a ranged attack is allocated to a model, if that model is not fully visible to every model in the attacking unit because of this Fortification, that model has the Benefit of Cover against that attack.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""95""]]]","[""BODYGUARD"", ""NA""]"
Sabre Weapons Battery,"[""CORE"", ""*""]","[""FACTION"", ""*""]","[[[""Sentinel Directives:"", "" Each time you target this unit with the Fire Overwatch Stratagem, hits are scored on unmodified Hit rolls of 5+ when resolving that Stratagem.""]], [[""Defence Searchlight:"", "" At the start of your Shooting phase, you can select one enemy unit within 24\"" and visible to the bearer. Until the end of the phase, that unit cannot have the Benefit of Cover.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""45""], [""2"", ""90""]]]","[""BODYGUARD"", ""NA""]"
Armoured Sentinels,"[[""CORE"", "" Deadly Demise 1""]]","[""FACTION"", ""*""]","[[[""Mobile Hunter-killers:"", "" Each time a model in this unit makes an attack that targets a MONSTER or VEHICLE unit, you can re-roll the Wound roll.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""70""], [""2"", ""140""], [""3"", ""210""]]]","[""BODYGUARD"", ""NA""]"
Attilan Rough Riders,"[""CORE"", ""*""]","[""FACTION"", ""*""]","[[[""Horsemasters:"", "" You can ignore any or all modifiers to this unit's Move characteristic and to Advance and Charge rolls made for it. In addition, this unit is eligible to shoot and declare a charge in a turn in which it Fell Back.""]]]","[""WARGEAR"", ""*""]","[[[""5"", ""70""], [""10"", ""140""]]]","[""BODYGUARD"", ""NA""]"
Baneblade,"[[""CORE"", "" Deadly Demise D6+2""]]","[""FACTION"", ""*""]","[[[""Rolling Fortress:"", "" Each time a ranged attack is allocated to an ASTRA MILITARUM model from your army, if that model is not fully visible to every model in the attacking unit because of this BANEBLADE model, that model has the Benefit of Cover against that attack.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""480""]]]","[""BODYGUARD"", ""NA""]"
Banehammer,"[[""CORE"", "" Deadly Demise D6+2"", "" Firing Deck 12""]]","[""FACTION"", ""*""]","[[[""Tremor Quake:"", "" In your Shooting phase, just after selecting a target for this model's tremor cannon, the target unit and every other enemy INFANTRY unit within 3\"" of that unit must take a Battle-shock test.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""450""]]]","[""BODYGUARD"", ""NA""]"
Banesword,"[[""CORE"", "" Deadly Demise D6+2""]]","[""FACTION"", ""*""]","[[[""Armour Obliteration:"", "" Each time an attack made with this model's quake cannon destroys an enemy model that has the Deadly Demise ability, that model's Deadly Demise ability inflicts mortal wounds on a D6 roll of 3+ instead of on a 6.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""480""]]]","[""BODYGUARD"", ""NA""]"
Basilisk,"[[""CORE"", "" Deadly Demise D3""]]","[""FACTION"", ""*""]","[[[""Earthshaker Rounds:"", "" In your Shooting phase, after this model has shot, if one or more of those attacks made with its earthshaker cannon scored a hit against an enemy INFANTRY unit, until the end of your opponent's next turn, that unit is shaken. While a unit is shaken, subtract 2\"" from its Move characteristic and subtract 2 from Advance and Charge rolls made for it.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""135""]]]","[""BODYGUARD"", ""NA""]"
Bullgryn Squad,"[[""CORE"", "" Feel No Pain 6+""]]","[""FACTION"", ""*""]","[[[""Wall of Muscle:"", "" Each time an attack is allocated to a model in this unit, subtract 1 from the Damage characteristic of that attack (to a minimum of 1).""]], [[""Brute Shield:"", "" The bearer has a 4+ invulnerable save.""]], [[""Slabshield:"", "" The bearer has a Wounds characteristic of 4.""]]]","[""WARGEAR"", ""*""]","[[[""3"", ""80""], [""6"", ""160""]]]","[""BODYGUARD"", ""NA""]"
Deathstrike,"[[""CORE"", "" Deadly Demise D6""]]","[""FACTION"", ""*""]","[[[""Deathstrike Missile:"", "" In your Shooting phase, each time this model is selected to shoot, if it has not shot with its Deathstrike missile this battle, you can do one of the following in addition to resolving this model's ranged attacks: ""], [""Designate Target:"", "" If this model does not have a Deathstrike Target marker on the battlefield, place a Deathstrike Target marker for this model anywhere on the battlefield.""], [""Adjust Target:"", "" If this model has a Deathstrike Target marker on the battlefield, move that marker to anywhere else on the battlefield.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""160""]]]","[""BODYGUARD"", ""NA""]"
Doomhammer,"[[""CORE"", "" Deadly Demise D6+2"", "" Firing Deck 12""]]","[""FACTION"", ""*""]","[[[""Close-range Titan Killer:"", "" Each time this model's magma cannon targets an enemy MONSTER or VEHICLE unit, that target is always considered to be within half range of that weapon.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""455""]]]","[""BODYGUARD"", ""NA""]"
Field Ordnance Battery,"[""CORE"", ""*""]","[""FACTION"", ""*""]","[[[""Rearm, Reload, Fire:"", "" While this unit is being affected by an Order, provided it Remained Stationary this turn, all Heavy weapons equipped by models in this unit have the [SUSTAINED HITS 1] ability.""]]]","[""WARGEAR"", ""*""]","[[[""2"", ""120""]]]","[""BODYGUARD"", ""NA""]"
Heavy Weapons Squad,"[""CORE"", ""*""]","[""FACTION"", ""*""]","[[[""Covering Fire:"", "" Each time you target this unit with the Fire Overwatch Stratagem, while resolving that Stratagem, hits are scored on unmodified Hit rolls of 5+, or on unmodified Hit rolls of 4+ instead if this unit is within 6\"" of one or more friendly PLATOON units.""]]]","[""WARGEAR"", ""*""]","[[[""3"", ""60""]]]","[""BODYGUARD"", ""NA""]"
Hellhammer,"[[""CORE"", "" Deadly Demise D6+2""]]","[""FACTION"", ""*""]","[[[""Close-quarters Warfare:"", "" This model does not suffer the penalty to its Hit rolls for making ranged attacks while enemy units are within Engagement Range of it.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""450""]]]","[""BODYGUARD"", ""NA""]"
Hellhound,"[[""CORE"", "" Deadly Demise D6""]]","[""FACTION"", ""*""]","[[[""Flush Them Out:"", "" In your Shooting phase, after this model has shot, select one enemy unit that was hit by one or more of those attacks. Until the end of the phase, that unit cannot have the Benefit of Cover.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""125""]]]","[""BODYGUARD"", ""NA""]"
Hydra,"[[""CORE"", "" Deadly Demise D3""]]","[""FACTION"", ""*""]","[[[""Flak Battery:"", "" Each time this model makes an attack that targets a unit that can FLY, you can re-roll the Hit roll.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""95""]]]","[""BODYGUARD"", ""NA""]"
Kasrkin,"[[""CORE"", "" Scouts 6""]]","[""FACTION"", ""*""]","[[[""Warrior Elite:"", "" In your Command phase, you can select one Order to affect this unit until the start of your next Command phase, in addition to any other Orders issued to this unit by an OFFICER model this turn.""]], [[""Vox-caster:"", "" Each time you target the bearer's unit with a Stratagem, roll one D6, adding 1 to the result if there are one or more friendly OFFICER models within 6\"": on a 5+, you gain 1CP.""]], [[""Melta Mine:"", "" Once per battle, at the start of any phase, you can select one enemy unit within 3\"" of the bearer and roll one D6: on a 2+, that enemy unit suffers D3 mortal wounds, or 2D3 mortal wounds instead if it is a VEHICLE unit.""]]]","[""WARGEAR"", ""*""]","[[[""10"", ""100""]]]","[""BODYGUARD"", ""NA""]"
Leman Russ Battle Tank,"[[""CORE"", "" Deadly Demise D3""]]","[""FACTION"", ""*""]","[[[""Armoured Spearhead:"", "" Each time this model makes an attack that targets an enemy unit, re-roll a Hit roll of 1 and, if that unit is within range of an objective marker you do not control, you can re-roll the Hit roll instead.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""180""]]]","[""BODYGUARD"", ""NA""]"
Leman Russ Demolisher,"[[""CORE"", "" Deadly Demise D3""]]","[""FACTION"", ""*""]","[[[""Line-breaker:"", "" When making ranged attacks with its demolisher battle cannon, this model can target enemy units within Engagement Range of it (provided no other friendly units are also within Engagement Range of that enemy unit). In addition, when making ranged attacks, this model does not suffer the penalty to its Hit rolls for being within Engagement Range of one or more enemy units.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""200""]]]","[""BODYGUARD"", ""NA""]"
Leman Russ Eradicator,"[[""CORE"", "" Deadly Demise D3""]]","[""FACTION"", ""*""]","[[[""Urban Warfare:"", "" When making ranged attacks with its eradicator nova cannon, this model can target enemy units within Engagement Range of it (provided no other friendly units are also within Engagement Range of that enemy unit). In addition, when making ranged attacks, this model does not suffer the penalty to its Hit rolls for being within Engagement Range of one or more enemy units.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""160""]]]","[""BODYGUARD"", ""NA""]"
Leman Russ Executioner,"[[""CORE"", "" Deadly Demise D3""]]","[""FACTION"", ""*""]","[[[""Gung-ho Executioners:"", "" Each time this model makes an attack with its executioner plasma cannon that targets a unit that is Below Half-strength, add 1 to the Hit roll.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""180""]]]","[""BODYGUARD"", ""NA""]"
Leman Russ Exterminator,"[[""CORE"", "" Deadly Demise D3""]]","[""FACTION"", ""*""]","[[[""Withering Hail:"", "" In your Shooting phase, after this model has shot, select one enemy unit hit by one or more of those attacks made with its exterminator autocannon. Until the end of the phase, each time a friendly ASTRA MILITARUM unit makes an attack that targets that enemy unit, improve the Armour Penetration characteristic of that attack by 1. The same enemy unit can only be affected by this ability once per phase.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""180""]]]","[""BODYGUARD"", ""NA""]"
Leman Russ Punisher,"[[""CORE"", "" Deadly Demise D3""]]","[""FACTION"", ""*""]","[[[""Mow Down the Enemy:"", "" Each time this model makes an attack with its punisher gatling cannon that targets an enemy unit (excluding MONSTERS and VEHICLES), that attack has the [DEVASTATING WOUNDS] ability.""]]]","[""WARGEAR"", ""*""]","[[[""1"", ""160""]]]","[""BODYGUARD"", ""NA""]"
